Metabolite,Concentration (M),Organism,,,
ATP,4.67E-3,Homo sapiens,,,
GTP,6.77E-4,Homo sapiens,,,
GMP,1.81E-5,Mus musculus,,,
ATP,4.67E-3,Mus musculus,,,
dTMP,1.18E-5,Mus musculus,,,
dATP,9.74E-7,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
GTP,6.77E-4,Homo sapiens,,,
AMP,4.23E-5,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
ribose-5-phosphate,2.84E-5,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
dATP,9.74E-7,Homo sapiens,,,
ATP,4.67E-3,Mus musculus,,,
NAD+,5.02E-4,Homo sapiens,,,
GTP,6.77E-4,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
NAD+,5.02E-4,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
GTP,6.77E-4,Homo sapiens,,,
dATP,9.74E-7,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
CTP,8.97E-4,Mus musculus,,,
GTP,6.77E-4,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
N-acetyl-glucosamine-1/6-phosphate,7.47E-6,Homo sapiens,,,
UTP,1.76E-3,Homo sapiens,,,
UDP-glucose,1.53E-3,Homo sapiens,,,
UTP,1.76E-3,Homo sapiens,,,
UDP-N-acetyl-glucosamine,8.97E-3,Homo sapiens,,,
serine,4.86E-3,Homo sapiens,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
malonyl-CoA,4.95E-6,Mus musculus,,,
acetyl-CoA,2.88E-5,Homo sapiens,,,
succinyl-CoA,6.80E-6,Homo sapiens,,,
AMP,4.23E-5,Homo sapiens,,,
dTMP,1.18E-5,Homo sapiens,,,
ADP,5.69E-4,Homo sapiens,,,
ATP,4.67E-3,Homo sapiens,,,
3-phospho-serine,4.40E-4,Homo sapiens,,,
"fructose-1,6-bisphosphate",1.52E-3,Mus musculus,,,
