reaction_id,standard_dGr_prime(kJ/mol),SD(kJ/mol)
AACTOOR,-125.9432201508372,43.07621383666992
AACTtm,-19.852517922269488,2.953867124233512e-06
AASAD3m,-39.02527837626879,1.4513307809829712
AATAi,1.3758887465983705,0.9673334956169128
ABO1g,-45.46928873063604,8.741534233093262
ABO2g,-16.400856810139146,1.1240370273590088
ABO3g,-18.37582257999594,1.472618818283081
ABO4g,-47.44425736151584,8.896368980407715
ABO5g,-45.46928858210822,8.741511344909668
ABO6g,-45.46927130243449,8.741541862487793
ABO7g,,
ABO8g,,
ABO9g,-34.506418184218546,3.312246561050415
ABTArm,1.3048236986969215,1.513278603553772
ABTD,22.39572359869113,0.7528662085533142
ABTti,13.691864603823866,8.022117981454358e-06
ABUTt2rL,95.3941833073102,5.676597538695205e-06
ABUTt4_2_r,-13.776695222177354,6.893528279761085e-06
ACACT10m,-21.024476064456223,2.495146512985229
ACACT1rm,27.875252726848032,1.0606344938278198
ACACT1x,27.752397537231445,1.0606460571289062
ACACt2m,27.38513310017928,6.10351571594947e-06
ACACT4p,-27.49321746826172,1.446476697921753
ACACT5p,-27.493223190307617,1.4464726448059082
ACACT6p,-27.493213653564453,1.4464774131774902
ACACT7p,-27.49320602416992,1.4464794397354126
ACACT8p,-27.493207931518555,1.4464707374572754
ACACT9p,-27.493227005004883,1.4464787244796753
ACACtx,-6.863733657039908,4.315837031754199e-06
ACALDtm,-18.25582669980609,0.0
ACALDtr,0.0,0.0
ACALDtx,4.563956675654791,0.0
ACCOACm,0.7881370734494908,2.241430759429932
ACCOAgt,-158.0382243035429,4.87670477014035e-05
ACCOALm,-9.790142110309176,0.785463273525238
ACCOAtn,1.220703097715159e-06,4.046773392474279e-05
ACCOAtr,-2.441406195430318e-06,3.85247367375996e-05
ACETONEt2,-10.881474259163069,7.591152098029852e-07
ACETONEt2m,16.99252188406059,1.0681152389224735e-06
ACGAGBSIDEtg,,
ACGAGBSIDEtl,,
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte,-154.03329985843848,5.823262472404167e-05
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg,654.6422032457416,6.198225310072303e-05
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,,
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,,
ACGALK,-9.0786423879535,0.9976716637611388
ACGALK2,-9.078671078198497,0.9976446032524108
ACGALtlg,69.81090162269602,5.276982392388163e-06
ACGALtly,141.59677758435774,4.272460955689894e-06
ACGAM6PSi,-13.99026679555296,9.121512413024902
ACGAMK,-15.251853904291352,0.3613016605377197
ACGAMPM,6.173213423686484,1.0380038022994995
ACGAMtly,141.5967778895335,5.205908564676065e-06
ACGBGBSIDEtg,-78.527357867228,6.072922133171232e-06
ACGBGBSIDEtl,-159.02389367382088,8.631674063508399e-06
ACGPID,11.381769685355668,4.281615257263184
ACGSm,-4.083982517684035,7.678865909576416
ACHEe,-20.09516890026381,1.5006972551345823
ACHtn,0.0,0.0
ACHVESSEC,-4.891592987486678,0.3780786097049713
ACITL,9.185068587608855,0.460526168346405
ACN13ACNGALGBSIDEte,,
ACN13ACNGALGBSIDEtg,,
ACN23ACNGALGBSIDEte,,
ACN23ACNGALGBSIDEtg,,
ACNACNGAL14ACGLCGALGLUSIDEte,,
ACNACNGAL14ACGLCGALGLUSIDEtg,,
ACNACNGALGBSIDEte,,
ACNACNGALGBSIDEtg,,
ACNAM9PL,-58.43402835563165,1.56838059425354
ACNAM9PL2,-61.71322236476251,1.2707589864730835
ACNAMlt,-180.15604450358936,1.2145843356847765e-05
ACNAMPH,-10.94113149956308,0.4586298763751983
ACNAMtn,1.220703097715159e-06,1.2145843356847765e-05
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,-131.32577774041542,7.448039832524955e-05
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg,574.0941864208045,7.719438872300088e-05
ACNMLr,6.138973755675789,1.3819659948349
